Date,Network,GSM Register Attempt,GPRS Register Attempt,GSM Register Success,GPRS Register Success,GSM Success Ratio (%),GPRS Success Ratio (%),GSM Avg Register Roamers,GPRS Avg Register Roamers,GSM Out of Total Roamer(%),GPRS Out of Total Roamer(%),Country
2014-02-18,T-Mobile (DEU),2252,5918,1865,5862,0.8281527531083481,0.990537343697195,286,317,0.004430399355578276,0.011966328186931411,GERMANY,
2014-02-18,o2 (DEU),775,283,125,0,0.16129032258064516,0.0,37,0,5.731635529943923E-4,0.0,GERMANY,
2014-02-18,MTN (GHA),185,0,179,0,0.9675675675675676,0.0,10,0,1.5490906837686277E-4,0.0,GHANA,
2014-02-18,Zain (GHA),126,8,0,0,0.0,0.0,1,0,1.5490906837686278E-5,0.0,GHANA,
2014-02-18,Gibtel,9,16,9,15,1.0,0.9375,3,2,4.6472720513058835E-5,7.549733871881016E-5,GIBRALTAR,
2014-02-18,Vodafone (GRC),1313,2103,447,1806,0.34044173648134046,0.8587731811697575,55,32,8.519998760727453E-4,0.0012079574195009626,GREECE,
2014-02-18,Wind (GRC),156,179,98,163,0.6282051282051282,0.9106145251396648,9,4,1.394181615391765E-4,1.5099467743762032E-4,GREECE,
2014-02-18,Docomo Pacific (GUM),17,0,1,0,0.058823529411764705,0.0,1,0,1.5490906837686278E-5,0.0,GUAM,
2014-02-18,Claro (GTM),1,1,1,1,1.0,1.0,1,1,1.5490906837686278E-5,3.774866935940508E-5,GUATEMALA,
2014-02-18,C&W Guernsey (GRN),2,2,2,0,1.0,0.0,5,1,7.745453418843138E-5,3.774866935940508E-5,GUERNSEY,
2014-02-18,CSL,36105,1693,87,253,0.0024096385542168677,0.1494388659184879,29,12,4.492362982929021E-4,4.5298403231286096E-4,HONG KONG,
2014-02-18,China Mobile (HKG),3879,1608,812,1170,0.20933230213972673,0.7276119402985075,85,34,0.0013167270812033337,0.0012834547582197728,HONG KONG,
2014-02-18,Hutchison Telephone (HKG),1406,838,38,77,0.02702702702702703,0.09188544152744631,20,10,3.0981813675372554E-4,3.774866935940508E-4,HONG KONG,
2014-02-18,New World Telephone,425,38,0,0,0.0,0.0,0,0,0.0,0.0,HONG KONG,
2014-02-18,PCCW (HKG) - 2G,57,4,1,0,0.017543859649122806,0.0,2,2,3.0981813675372557E-5,7.549733871881016E-5,HONG KONG,
2014-02-18,PCCW (HKG) - 3G - HPMN,1285,783,397,683,0.30894941634241246,0.8722860791826309,89,50,0.0013786907085540788,0.0018874334679702541,HONG KONG,
